emoticon;word;;;;;;;;;
#‑); tired ;;;;;;;;;
%); drunk ;;;;;;;;;
%‑); drunk ;;;;;;;;;
(:; happy ;;;;;;;;;
(=; happy ;;;;;;;;;
):; sad ;;;;;;;;;
)=; sad ;;;;;;;;;
*); wink ;;;;;;;;;
*-); wink ;;;;;;;;;
*-*; amazed ;;;;;;;;;
*_*; amazed ;;;;;;;;;
',:-|; sceptical ;;;;;;;;;
',:-l; sceptical ;;;;;;;;;
-.-; shame ;;;;;;;;;
-.-'; shame ;;;;;;;;;
.-.; looking down ;;;;;;;;;
.--.; looking down ;;;;;;;;;
._.; looking down ;;;;;;;;;
-.=; shame ;;;;;;;;;
:'; sad ;;;;;;;;;
:#; silent ;;;;;;;;;
:‑#; silent ;;;;;;;;;
:###..; sick ;;;;;;;;;
:‑###..; sick ;;;;;;;;;
:$; embarrassed ;;;;;;;;;
:&; silent ;;;;;;;;;
:‑&; silent ;;;;;;;;;
:(; sad ;;;;;;;;;
:'(; sad ;;;;;;;;;
:''(; sad ;;;;;;;;;
:'‑(; sad ;;;;;;;;;
:‑(; sad ;;;;;;;;;
:); happy ;;;;;;;;;
:'); happy tears ;;;;;;;;;
:'‑); happy tears ;;;;;;;;;
:‑); happy ;;;;;;;;;
:-)); very happy ;;;;;;;;;
:*; kiss ;;;;;;;;;
:-*; kiss ;;;;;;;;;
:*(; sad ;;;;;;;;;
:**(; sad ;;;;;;;;;
:**-(; sad ;;;;;;;;;
:‑,; wink ;;;;;;;;;
:‑.; skeptical ;;;;;;;;;
:/; skeptical ;;;;;;;;;
:-/; skeptical ;;;;;;;;;
://); embarrassed ;;;;;;;;;
://3; embarrassed ;;;;;;;;;
:@; sad ;;;;;;;;;
:[; sad ;;;;;;;;;
:'[; sad ;;;;;;;;;
:‑[; sad ;;;;;;;;;
:\; skeptical ;;;;;;;;;
:]; happy ;;;;;;;;;
:-]; happy ;;;;;;;;;
:^); happy ;;;;;;;;;
:{; sad ;;;;;;;;;
:|; neutral ;;;;;;;;;
:-|; neutral ;;;;;;;;;
:‑|; neutral ;;;;;;;;;
:-||; sad ;;;;;;;;;
:}; happy ;;;;;;;;;
:-}; happy ;;;;;;;;;
:<; sad ;;;;;;;;;
:‑<; sad ;;;;;;;;;
:>; happy ;;;;;;;;;
:->; happy ;;;;;;;;;
:×; kiss ;;;;;;;;;
:0; shock ;;;;;;;;;
:-0; shock ;;;;;;;;;
:3; happy ;;;;;;;;;
:-3; happy ;;;;;;;;;
:b; playful ;;;;;;;;;
:-b; playful ;;;;;;;;;
:‑b; playful ;;;;;;;;;
:c; sad ;;;;;;;;;
:-C; sad ;;;;;;;;;
:‑c; sad ;;;;;;;;;
:c); happy ;;;;;;;;;
:D; very happy ;;;;;;;;;
:d; happy ;;;;;;;;;
:'D; happy;;;;;;;;;
:-D; happy ;;;;;;;;;
:‑D; very happy ;;;;;;;;;
:E; awkward ;;;;;;;;;
:I; neutral ;;;;;;;;;
:-j; sarcasm ;;;;;;;;;
:‑J; sarcasm ;;;;;;;;;
:L; skeptical ;;;;;;;;;
:l; neutral ;;;;;;;;;
:O; shock ;;;;;;;;;
:o; shock ;;;;;;;;;
:‑O; shock ;;;;;;;;;
:‑o; shock ;;;;;;;;;
:o(; sad ;;;;;;;;;
:o); happy ;;;;;;;;;
:P; playful ;;;;;;;;;
:p; playful ;;;;;;;;;
:‑P; playful ;;;;;;;;;
:‑p; playful ;;;;;;;;;
:S; skeptical ;;;;;;;;;
:s; skeptical ;;;;;;;;;
:-S; skeptical ;;;;;;;;;
:-s; skeptical ;;;;;;;;;
:Þ; playful ;;;;;;;;;
:þ; playful ;;;;;;;;;
:‑Þ; playful ;;;;;;;;;
:‑þ; playful ;;;;;;;;;
:X; silent ;;;;;;;;;
:x; silent ;;;;;;;;;
:‑X; silent ;;;;;;;;;
";("; sad ;;;;;;;;;
";'("; sad ;;;;;;;;;
";)"; wink ;;;;;;;;;
";‑)"; wink ;;;;;;;;;
";/"; troubled ;;;;;;;;;
";\"; troubled ;;;;;;;;;
";]"; wink ;;;;;;;;;
";‑]"; wink ;;;;;;;;;
";^)"; wink ;;;;;;;;;
";_;"; sad ;;;;;;;;;
";__;"; sad ;;;;;;;;;
";>"; wink ;;;;;;;;;
";0)"; wink ;;;;;;;;;
";3"; evil ;;;;;;;;;
";D"; wink ;;;;;;;;;
";P"; playful ;;;;;;;;;
";p"; playful ;;;;;;;;;
\m/; affirmative;;;;;;;;;
]:; sad ;;;;;;;;;
^.^; happy;;;;;;;;;
^^; happy;;;;;;;;;
^-^; happy;;;;;;;;;
^__^; happy;;;;;;;;;
-_-; shame ;;;;;;;;;
-___-; shame ;;;;;;;;;
{:; happy ;;;;;;;;;
"|;‑)"; cool ;;;;;;;;;
|‑O; cool ;;;;;;;;;
}:; sad ;;;;;;;;;
}:); evil ;;;;;;;;;
}:‑); evil ;;;;;;;;;
<:‑|; dumb ;;;;;;;;;
<_<; guilty ;;;;;;;;;
=(; sad ;;;;;;;;;
=); happy ;;;;;;;;;
=.=; surprise ;;;;;;;;;
=/; skeptical ;;;;;;;;;
=[; sad ;;;;;;;;;
=\; skeptical ;;;;;;;;;
=-\; sad ;;;;;;;;;
=]; happy ;;;;;;;;;
=_=; surprise ;;;;;;;;;
={; sad ;;;;;;;;;
=|; neutral ;;;;;;;;;
=}; happy ;;;;;;;;;
=3; very happy ;;;;;;;;;
=D; very happy ;;;;;;;;;
=L; skeptical ;;;;;;;;;
=o; shock ;;;;;;;;;
=p; playful ;;;;;;;;;
=P; playful ;;;;;;;;;
=S; sceptical ;;;;;;;;;
=X; silent ;;;;;;;;;
>:‑); evil ;;;;;;;;;
>:/; annoyed;;;;;;;;;
>:[; sad ;;;;;;;;;
>:\; annoyed;;;;;;;;;
>:3; evil ;;;;;;;;;
>:O; shock ;;;;;;;;;
>:P; playful ;;;;;;;;;
">;)"; evil ;;;;;;;;;
>_>; guilty ;;;;;;;;;
0:); innocent ;;;;;;;;;
0:‑); innocent ;;;;;;;;;
0:3; innocent ;;;;;;;;;
0:‑3; innocent ;;;;;;;;;
"0;^)"; innocent ;;;;;;;;;
0_o; surprise ;;;;;;;;;
3:); evil ;;;;;;;;;
3:‑); evil ;;;;;;;;;
8(; sad ;;;;;;;;;
8); happy ;;;;;;;;;
8-); happy ;;;;;;;;;
8-|; neutral ;;;;;;;;;
8‑0; shock ;;;;;;;;;
8D; very happy ;;;;;;;;;
8‑D; very happy ;;;;;;;;;
B-); cool ;;;;;;;;;
B^D; very happy ;;;;;;;;;
C:; very happy ;;;;;;;;;
c:; very happy ;;;;;;;;;
D:; disgust ;;;;;;;;;
d:; playful ;;;;;;;;;
D‑':; disgust ;;;;;;;;;
D:<; disgust ;;;;;;;;;
"D;"; disgust ;;;;;;;;;
D=; disgust ;;;;;;;;;
D8; disgust ;;;;;;;;;
DX; disgust ;;;;;;;;;
o.O; surprise ;;;;;;;;;
O.o; surprise ;;;;;;;;;
o.o; surprise ;;;;;;;;;
O.O; surprise ;;;;;;;;;
o:; surprise ;;;;;;;;;
O:); innocent ;;;;;;;;;
O:‑); innocent ;;;;;;;;;
o_O; surprise ;;;;;;;;;
O_o; surprise ;;;;;;;;;
Q:; playful ;;;;;;;;;
q:; playful ;;;;;;;;;
T.T; sad ;;;;;;;;;
T-T; sad ;;;;;;;;;
u:; happy ;;;;;;;;;
X); happy;;;;;;;;;
x); happy;;;;;;;;;
x.x; confused ;;;;;;;;;
x]; happy;;;;;;;;;
X_X; confused ;;;;;;;;;
X0; confused ;;;;;;;;;
xD; very happy ;;;;;;;;;
XD; very happy ;;;;;;;;;
x‑D; very happy ;;;;;;;;;
X‑D; very happy ;;;;;;;;;
xp; playful ;;;;;;;;;
XP; playful ;;;;;;;;;
X‑P; playful ;;;;;;;;;
x‑p; playful ;;;;;;;;;
